FID,Canopy,Elev,EVI,EVI_std,NDVI,NDVI_std,NPP,NPP_std,PrecipYear,TRI,TotalPrecip_JuneSep,MeanMonthlyPrecip_JuneSep,NumSettlements,PercWater,DistWater,DistGoodPA,DistSettlementNEW,DistInsidePA,Latitude,LivestockSignPer500m,LivestockPropSegs,DirectCattle_Per500m,HumanSignPer500m,HumanPropSegs,DirectPeople_Per500m
5,-1.186175081,-0.752502787,-1.204313606,3.199830775,-1.474136568,1.7066241,-1.152182155,-0.034287083,-1.506721805,-0.858824134,1.242057604,0.565272665,1.723371623,1.434240083,-0.726180127,-1.501328802,-0.960001687,-1.389850512,-1.809889256,1.192943038,1.139568953,-0.137689911,1.889003021,0.484352614,5.7202935
7,-1.022195164,-0.593463756,-0.981197171,-0.186337349,-0.621799345,-0.156437962,-1.539333037,2.059192366,-1.47372252,2.033205899,0.01793445,0.565272665,-0.626338267,0.93844538,-0.903291162,-1.042986742,-0.330460725,-1.436154557,-1.634084322,1.034324931,0.67434591,-0.401167651,-0.49566734,-0.534246771,-0.449100415
8,-1.224081788,-0.583635974,-0.871875204,-0.348916118,-0.620635019,-0.001038712,-1.523249714,1.014980739,-1.457905792,0.233784177,0.022218881,0.565272665,1.429657887,0.703345337,-0.767797854,-1.059576922,-0.479867312,-1.252569235,-1.634084322,1.91612774,0.829420257,-0.172376873,0.540814021,0.606584541,0.282579107
9,-1.660677095,-0.606476783,-1.483125786,-0.510135044,-1.662154791,-0.41082694,-1.817526598,0.468651973,-1.462541963,-1.41619156,0.030665331,0.565272665,0.254802942,0.082224393,-0.243953845,-1.063695323,-0.546673424,-1.132336271,-1.634084322,1.286894055,1.015509475,-0.126060921,1.404454296,1.348124893,4.020572027
10,-1.33881232,-0.635039079,-1.442820929,-1.220889786,-1.72732845,-0.92050232,-1.649721756,0.449055997,-1.439981152,-1.177470641,0.564383026,0.565272665,2.898226568,0.373967652,-0.569416898,-1.124181934,-0.923496786,-1.263827554,-1.634084322,2.247082077,1.389688868,6.625919094,1.994585621,2.313888543,0.051989383
11,-1.329718622,-0.629887301,-0.990922887,-0.905944003,-1.389927329,-0.729647209,-1.467270874,-0.036041514,-1.407235803,-1.3896981,1.13188652,0.565272665,2.604512832,0.39950233,-0.64791719,-1.25160864,-1.046688412,-1.327461299,-1.634084322,0.908108162,1.341839841,4.004778848,0.576468427,1.005166909,-0.094307563
12,-1.400512575,-0.623170349,-1.436143208,-0.286180818,-1.632376034,-0.70834443,-1.376943947,-0.620194098,-1.372939722,-1.153899003,1.242057604,0.565272665,7.010218875,0.480603282,-0.395177712,-1.369237946,-0.787001476,-1.198322801,-1.634084322,2.686228281,1.604791995,6.227776563,3.677013624,2.195599582,1.874050244
13,-1.482062516,-0.609651049,-0.780598418,-0.16961244,-1.201572882,-0.708504504,-0.952245202,-1.608809038,-1.353906889,-1.329123199,1.242057604,0.565272665,-0.626338267,-0.294270745,0.401867835,-1.433604086,-0.002120454,-1.013459705,-1.634084322,-0.785711318,-0.796186696,-0.029856986,-0.565197183,-0.611519828,0.070414315
14,-1.291420788,-0.701779185,-0.142169014,-0.430045225,-0.808052777,-0.931845791,-1.17725859,-0.89205151,-1.395286044,-1.093377625,1.242057604,0.565272665,-0.626338267,-0.294196863,0.852860253,-1.460275557,1.302049084,-0.765993738,-1.634084322,-0.843177312,-0.895006487,-0.401167651,-0.650189758,-0.767302311,-0.449100415
15,-1.471534686,-0.786431569,0.119155375,-0.949946255,-0.705724346,-1.05850284,-1.116661664,-0.71778768,-1.463699465,-0.905210802,1.081085409,0.565272665,-0.626338267,-0.29238664,-0.231657829,-1.483877748,2.075043578,-0.643066521,-1.634084322,-0.935702915,-1.031471913,-0.401167651,-0.676720463,-0.803157009,-0.449100415
16,-0.071952569,-0.858885842,-0.248819041,-1.318720802,-0.773633941,-0.988734084,-0.690140275,-1.746045251,-1.545153583,-1.660807213,1.189420308,0.565272665,-0.626338267,-0.294252272,1.404049894,-1.501779968,3.232064792,-0.374498225,-1.634084322,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
17,-0.979529748,-0.96320233,0.232113151,-1.292377812,-0.79662823,-0.979129689,-1.10276282,-0.922009896,-1.623317633,-2.305393835,1.242057604,0.565272665,-0.626338267,-0.294270745,3.215788607,-1.515322785,4.082530117,-0.331217721,-1.634084322,-0.935702915,-1.031471913,-0.401167651,-0.677092855,-0.803157009,-0.449100415
18,-0.660305079,-1.036925333,-0.586968251,-0.957572008,-1.481402148,-0.991565424,-0.979022846,-1.184318267,-1.686066814,-2.240799908,1.242057604,0.565272665,-0.626338267,-0.294270745,3.94320772,-1.524032183,4.310804115,-0.425439452,-1.634084322,-0.935702915,-1.031471913,-0.401167651,-0.636485895,-0.737966648,-0.449100415
21,-1.163489726,-0.380232851,-0.984766654,-0.230328101,-0.951367334,0.073272213,-1.317970628,-0.020415811,-1.646042393,1.96307243,0.01793445,0.565272665,-0.626338267,0.442177394,-0.567948015,-0.868587947,-0.38448101,-1.207827221,-1.458279388,-0.712349904,-0.690308348,-0.401167651,-0.126354671,0.09321045,-0.449100415
22,-1.994406049,-0.286735951,-0.011227517,-0.427170294,-0.843386462,-0.562811052,-1.5275756,-0.174733852,-1.532168358,0.909968326,0.01793445,0.565272665,-0.626338267,0.225821504,-0.118170314,-0.908788927,1.356967185,-1.014620231,-1.458279388,-0.441391833,-0.273330658,-0.401167651,-0.421491096,-0.384852195,-0.449100415
23,-1.67860374,-0.22813158,0.001655117,-1.486086331,-0.900821735,-1.251420071,-1.323612361,-1.014759746,-1.427602414,-1.552767903,0.022463706,0.565272665,-0.626338267,-0.294270745,0.922963304,-0.921903777,1.635448281,-0.823723522,-1.458279388,-0.935702915,-1.031471913,-0.401167651,-0.571938267,-0.635449549,-0.449100415
25,-1.638839181,-0.304871478,-0.619549978,-1.030602435,-1.344442319,-1.121641956,-1.459069167,-0.536813017,-1.307594482,-1.865432094,0.796476776,0.565272665,-0.626338267,-0.294270745,1.426735508,-1.067603959,0.65672557,-0.780876877,-1.458279388,-0.548385981,-0.438143974,-0.401167651,-0.357402557,-0.280925533,-0.449100415
26,-1.435485831,-0.371848251,-0.31754711,-1.409052562,-1.093743664,-1.292361881,-1.188968402,-0.551157503,-1.266099454,-1.537927673,1.219533738,0.565272665,-0.33262453,-0.294270745,1.142501197,-1.177510515,-0.127813927,-0.845346539,-1.458279388,-0.489664987,-0.349144783,-0.401167651,-0.347240427,-0.444610025,-0.449100415
28,-0.723667623,-0.575496579,-0.329837061,-0.499516487,-0.539364743,-0.804141386,-1.095248542,-0.757864895,-1.245620667,-0.895455175,1.242057604,0.565272665,-0.626338267,-0.29415984,2.383295312,-1.298847093,1.908360721,-0.575613848,-1.458279388,-0.635591678,-0.560901479,-0.401167651,-0.787035708,-0.982430501,-0.449100415
35,-1.244322601,-1.144236757,-0.667178787,-0.616035991,-1.171224419,-0.873456722,-1.706079887,-0.749349198,-1.528947322,-0.454646811,1.062723562,0.565272665,-0.626338267,-0.294270745,3.379636246,-1.484981755,1.548066201,-0.124181086,-1.458279388,-0.935702915,-1.031471913,-0.401167651,-0.605008837,-0.699367093,-0.022818993
36,-0.749416805,-1.213082467,-0.193823684,-0.520375547,-0.797560613,-0.714320015,-1.778540884,-0.757917474,-1.516842243,1.033205491,0.305970628,0.565272665,-0.626338267,-0.293808345,2.214276055,-1.503352039,1.541502393,-0.219347258,-1.458279388,-0.935702915,-1.031471913,-0.401167651,-0.681070005,-0.814361602,0.047213235
